代码,名称,上市日期,退市日期,证券类型,上市状态,所属板块,流通市值,总市值,动态市盈率
600000,浦发银行,1999-11-10,,1,1,沪市主板,384349373982.0,384349373982.0,0.0
600001,邯郸钢铁,1998-01-22,2009-12-29,1,0,沪市主板,0.0,0.0,0.0
600002,齐鲁石化,1998-04-08,2006-04-24,1,0,沪市主板,0.0,0.0,0.0
600003,ST东北高,1999-08-10,2010-02-26,1,0,沪市主板,0.0,0.0,0.0
600004,白云机场,2003-04-28,,1,1,沪市主板,22389154957.0,24380733897.0,0.0
600005,武钢股份,1999-08-03,2017-02-14,1,0,沪市主板,0.0,0.0,0.0
600006,东风股份,1999-07-27,,1,1,沪市主板,14520000000.0,14520000000.0,0.0
600007,中国国贸,1999-03-12,,1,1,沪市主板,20095286553.0,20095286553.0,0.0
600008,首创环保,2000-04-27,,1,1,沪市主板,22168583845.0,22168583845.0,0.0
600009,上海机场,1998-02-18,,1,1,沪市主板,66892877345.0,81342953278.0,0.0
600010,包钢股份,2001-03-09,,1,1,沪市主板,81590075546.0,117750410305.0,0.0
600011,华能国际,2001-12-06,,1,1,沪市主板,81163099202.0,115851928989.0,0.0
600012,皖通高速,2003-01-07,,1,1,沪市主板,17052728000.0,24996699336.0,0.0
600015,华夏银行,2003-09-12,,1,1,沪市主板,104171506365.0,107744065728.0,0.0
600016,民生银行,2000-12-19,,1,1,沪市主板,135465310674.0,167248838678.0,0.0
600017,日照港,2006-10-17,,1,1,沪市主板,9319231281.0,9319231281.0,0.0
600018,上港集团,2006-10-26,,1,1,沪市主板,127159549375.0,127341383957.0,0.0
600019,宝钢股份,2000-12-12,,1,1,沪市主板,158573576973.0,158573576973.0,0.0
600020,中原高速,2003-08-08,,1,1,沪市主板,9596277723.0,9596277723.0,0.0
600021,上海电力,2003-10-29,,1,1,沪市主板,60148729027.0,60148729027.0,0.0
600022,山东钢铁,2004-06-29,,1,1,沪市主板,16583216809.0,16583216809.0,0.0
600023,浙能电力,2013-12-19,,1,1,沪市主板,67311838400.0,67311838400.0,0.0
600025,华能水电,2017-12-15,,1,1,沪市主板,164700000000.0,170474512452.0,0.0
600026,中远海能,2002-05-23,,1,1,沪市主板,44164407980.0,69462956864.0,0.0
600027,华电国际,2005-02-03,,1,1,沪市主板,42806947491.0,58407224146.0,0.0
600028,中国石化,2001-08-08,,1,1,沪市主板,583675248310.0,744901167608.0,0.0
600029,南方航空,2003-07-25,,1,1,沪市主板,107411090074.0,144423748619.0,0.0
600030,中信证券,2003-01-06,,1,1,沪市主板,347884061327.0,423423022905.0,0.0
600031,三一重工,2003-07-03,,1,1,沪市主板,188809410024.0,204864698856.0,0.0
600032,浙江新能,2021-05-25,,1,1,沪市主板,18491953242.0,18491953242.0,0.0
600033,福建高速,2001-02-09,,1,1,沪市主板,11142264000.0,11142264000.0,0.0
600035,楚天高速,2004-03-10,,1,1,沪市主板,6327755491.0,6327755491.0,0.0
600036,招商银行,2002-04-09,,1,1,沪市主板,851975404918.0,1041579623321.0,0.0
600037,歌华有线,2001-02-08,,1,1,沪市主板,11008963062.0,11008963062.0,0.0
600038,中直股份,2000-12-18,,1,1,沪市主板,25526568033.0,31287125008.0,0.0
600039,四川路桥,2003-03-25,,1,1,沪市主板,90955878147.0,90955878147.0,0.0
600048,保利发展,2006-07-31,,1,1,沪市主板,78645813256.0,78645813256.0,0.0
600050,中国联通,2002-10-09,,1,1,沪市主板,166756197608.0,169453185272.0,0.0
600051,宁波联合,1997-04-10,,1,1,沪市主板,2356470400.0,2356470400.0,0.0
600052,东望时代,1997-04-15,,1,1,沪市主板,3984599178.0,3984599178.0,0.0
600053,九鼎投资,1997-04-18,,1,1,沪市主板,9667959840.0,9667959840.0,0.0
600054,黄山旅游,1997-05-06,,1,1,沪市主板,5872152000.0,8344100794.0,0.0
600055,万东医疗,1997-05-19,,1,1,沪市主板,11930946154.0,11930946154.0,0.0
600056,中国医药,1997-05-15,,1,1,沪市主板,16179702992.0,16185418873.0,0.0
600057,厦门象屿,1997-06-04,,1,1,沪市主板,17493384971.0,23747326874.0,0.0
600058,五矿发展,1997-05-28,,1,1,沪市主板,12348411391.0,12348411391.0,0.0
600059,古越龙山,1997-05-16,,1,1,沪市主板,8477344441.0,8477344441.0,0.0
600060,海信视像,1997-04-22,,1,1,沪市主板,31594099920.0,31710825772.0,0.0
600061,国投资本,1997-05-19,,1,1,沪市主板,49937012986.0,49937012986.0,0.0
600062,华润双鹤,1997-05-22,,1,1,沪市主板,19265037667.0,19372827543.0,0.0
600063,皖维高新,1997-05-28,,1,1,沪市主板,13076752758.0,13076752758.0,0.0
600064,南京高科,1997-05-06,,1,1,沪市主板,15365416039.0,15365416039.0,0.0
600065,*ST联谊,1997-05-23,2007-12-13,1,0,沪市主板,0.0,0.0,0.0
600066,宇通客车,1997-05-08,,1,1,沪市主板,71886606571.0,71886606571.0,0.0
600067,冠城新材,1997-05-08,,1,1,沪市主板,6067675702.0,6067675702.0,0.0
600068,葛洲坝,1997-05-26,2021-09-13,1,0,沪市主板,0.0,0.0,0.0
600069,退市银鸽,1997-04-30,2020-08-27,1,0,沪市主板,0.0,0.0,0.0
600070,*ST富润,1997-06-04,2025-04-30,1,0,沪市主板,0.0,0.0,0.0
600071,凤凰光学,1997-05-28,,1,1,沪市主板,6107337652.0,6107337652.0,0.0
600072,中船科技,1997-06-03,,1,1,沪市主板,13043381285.0,18091596765.0,0.0
600073,光明肉业,1997-07-04,,1,1,沪市主板,6160882631.0,6160882631.0,0.0
600074,退市保千,1997-06-23,2020-06-02,1,0,沪市主板,0.0,0.0,0.0
600075,新疆天业,1997-06-17,,1,1,沪市主板,9117322612.0,9117322612.0,0.0
600076,康欣新材,1997-05-26,,1,1,沪市主板,4974810458.0,4974810458.0,0.0
600077,*ST宋都,1997-05-20,2023-07-25,1,0,沪市主板,0.0,0.0,0.0
600078,澄星股份,1997-06-27,,1,1,沪市主板,6824500468.0,6971172468.0,0.0
600079,ST人福,1997-06-06,,1,1,沪市主板,28085853614.0,29706512563.0,0.0
600080,金花股份,1997-06-12,,1,1,沪市主板,2989894983.0,2989894983.0,0.0
600081,东风科技,1997-07-03,,1,1,沪市主板,6564420638.0,6564420638.0,0.0
600082,海泰发展,1997-06-20,,1,1,沪市主板,2708612209.0,2758914577.0,0.0
600083,*ST博信,1997-06-06,2025-03-05,1,0,沪市主板,0.0,0.0,0.0
600084,中信尼雅,1997-07-11,,1,1,沪市主板,5966989467.0,5966989467.0,0.0
600085,同仁堂,1997-06-25,,1,1,沪市主板,44490495299.0,44490495299.0,0.0
600086,退市金钰,1997-06-06,2021-03-17,1,0,沪市主板,0.0,0.0,0.0
600087,退市长油,1997-06-12,2014-06-05,1,0,沪市主板,0.0,0.0,0.0
600088,中视传媒,1997-06-16,,1,1,沪市主板,6721238160.0,6721238160.0,0.0
600089,特变电工,1997-06-18,,1,1,沪市主板,126016646721.0,126016646721.0,0.0
600090,退市济堂,1997-06-16,2022-07-07,1,0,沪市主板,0.0,0.0,0.0
600091,退市明科,1997-07-04,2022-06-21,1,0,沪市主板,0.0,0.0,0.0
600092,S*ST精密,1997-06-26,2006-11-30,1,0,沪市主板,0.0,0.0,0.0
600093,退市易见,1997-06-26,2022-06-23,1,0,沪市主板,0.0,0.0,0.0
600094,大名城,1997-07-03,,1,1,沪市主板,9716870872.0,10625021706.0,0.0
600095,湘财股份,1997-07-08,,1,1,沪市主板,32766291535.0,32766291535.0,0.0
600096,云天化,1997-07-09,,1,1,沪市主板,63075479293.0,63075479293.0,0.0
600097,开创国际,1997-06-19,,1,1,沪市主板,2855098224.0,2855098224.0,0.0
600098,广州发展,1997-07-18,,1,1,沪市主板,23524354023.0,23524354023.0,0.0
600099,林海股份,1997-07-04,,1,1,沪市主板,2289804000.0,2289804000.0,0.0
600100,同方股份,1997-06-27,,1,1,沪市主板,31224774685.0,31224774685.0,0.0
600101,明星电力,1997-06-27,,1,1,沪市主板,5226607973.0,5226607973.0,0.0
600102,莱钢股份,1997-08-28,2012-02-28,1,0,沪市主板,0.0,0.0,0.0
600103,青山纸业,1997-07-03,,1,1,沪市主板,9380275159.0,9501105407.0,0.0
600104,上汽集团,1997-11-25,,1,1,沪市主板,177027273562.0,177027273562.0,0.0
600105,永鼎股份,1997-09-29,,1,1,沪市主板,44152243020.0,44152243020.0,0.0
600106,重庆路桥,1997-06-18,,1,1,沪市主板,8598792151.0,8598792151.0,0.0
600107,ST尔雅,1997-11-06,,1,1,沪市主板,2455200000.0,2455200000.0,0.0
600108,亚盛集团,1997-08-18,,1,1,沪市主板,6872610377.0,6872610377.0,0.0
600109,国金证券,1997-08-07,,1,1,沪市主板,35163912996.0,35163912996.0,0.0
600110,诺德股份,1997-10-07,,1,1,沪市主板,12979153371.0,12979153371.0,0.0
600111,北方稀土,1997-09-24,,1,1,沪市主板,178620403253.0,178620403253.0,0.0
600112,*ST天成,1997-11-27,2024-08-15,1,0,沪市主板,0.0,0.0,0.0
600113,浙江东日,1997-10-21,,1,1,沪市主板,25652732826.0,26260364751.0,0.0
600114,东睦股份,2004-05-11,,1,1,沪市主板,19268147491.0,19737047491.0,0.0
600115,中国东航,1997-11-05,,1,1,沪市主板,101809290060.0,132084665287.0,0.0
600116,三峡水利,1997-08-04,,1,1,沪市主板,12486293163.0,12486293163.0,0.0
600117,西宁特钢,1997-10-15,,1,1,沪市主板,9570037680.0,9570037680.0,0.0
600118,中国卫星,1997-09-08,,1,1,沪市主板,125402972767.0,125402972767.0,0.0
600119,长江投资,1998-01-15,,1,1,沪市主板,2896594034.0,2896594034.0,0.0
600120,浙江东方,1997-12-01,,1,1,沪市主板,23634439925.0,23634439925.0,0.0
600121,郑州煤电,1998-01-07,,1,1,沪市主板,5507222412.0,5507222412.0,0.0
600122,*ST宏图,1998-04-20,2023-06-26,1,0,沪市主板,0.0,0.0,0.0
600123,兰花科创,1998-12-17,,1,1,沪市主板,9075158529.0,9075158529.0,0.0
600125,铁龙物流,1998-05-11,,1,1,沪市主板,8368395212.0,8368395212.0,0.0
600126,杭钢股份,1998-03-11,,1,1,沪市主板,29482860695.0,29482860695.0,0.0
600127,金健米业,1998-05-06,,1,1,沪市主板,4351290218.0,4351290218.0,0.0
600128,苏豪弘业,1997-09-01,,1,1,沪市主板,2798343450.0,2854263258.0,0.0
600129,太极集团,1997-11-18,,1,1,沪市主板,10278434968.0,10278434968.0,0.0
600130,*ST波导,2000-07-06,,1,1,沪市主板,3195000000.0,3195000000.0,0.0
600131,国网信通,1998-04-02,,1,1,沪市主板,20294510379.0,20336085097.0,0.0
600132,重庆啤酒,1997-10-30,,1,1,沪市主板,25355251063.0,25355251063.0,0.0
600133,东湖高新,1998-02-12,,1,1,沪市主板,11366117068.0,11366117068.0,0.0
600135,乐凯胶片,1998-01-22,,1,1,沪市主板,6567755265.0,6567755265.0,0.0
600136,ST明诚,1998-03-03,,1,1,沪市主板,3322683035.0,3489812342.0,0.0
600137,浪莎股份,1998-04-16,,1,1,沪市主板,1871438569.0,1871438569.0,0.0
600138,中青旅,1997-12-03,,1,1,沪市主板,7223923200.0,7223923200.0,0.0
600139,*ST西源,1998-02-25,2023-03-27,1,0,沪市主板,0.0,0.0,0.0
600141,兴发集团,1999-06-16,,1,1,沪市主板,41328038387.0,41328038387.0,0.0
600143,金发科技,2004-06-23,,1,1,沪市主板,55120560506.0,55120560506.0,0.0
600145,退市新亿,1999-09-23,2022-04-28,1,0,沪市主板,0.0,0.0,0.0
600146,退市环球,1999-07-07,2022-06-30,1,0,沪市主板,0.0,0.0,0.0
600148,长春一东,1998-05-20,,1,1,沪市主板,2860047455.0,2860047455.0,0.0
600149,廊坊发展,1999-10-14,,1,1,沪市主板,1976832000.0,1976832000.0,0.0
600150,中国船舶,1998-05-20,,1,1,沪市主板,269191473472.0,269191473472.0,0.0
600151,航天机电,1998-06-05,,1,1,沪市主板,29717707387.0,29717707387.0,0.0
600152,维科技术,1998-06-09,,1,1,沪市主板,3994549281.0,3994549281.0,0.0
600153,建发股份,1998-06-16,,1,1,沪市主板,27342648536.0,27342648536.0,0.0
600155,华创云信,1998-09-18,,1,1,沪市主板,15229172242.0,15229172242.0,0.0
600156,华升股份,1998-05-27,,1,1,沪市主板,3297307756.0,3297307756.0,0.0
600157,永泰能源,1998-05-13,,1,1,沪市主板,36435666122.0,36435666122.0,0.0
600158,中体产业,1998-03-27,,1,1,沪市主板,8539666296.0,8539666296.0,0.0
600159,大龙地产,1998-05-26,,1,1,沪市主板,2348909147.0,2348909147.0,0.0
600160,巨化股份,1998-06-26,,1,1,沪市主板,102077399323.0,102077399323.0,0.0
600161,天坛生物,1998-06-16,,1,1,沪市主板,33714183154.0,33714183154.0,0.0
600162,香江控股,1998-06-09,,1,1,沪市主板,6210032432.0,6210032432.0,0.0
600163,中闽能源,1998-06-02,,1,1,沪市主板,10523568671.0,10523568671.0,0.0
600165,*ST宁科,1998-05-29,,1,1,沪市主板,2968300266.0,6544329289.0,0.0
600166,福田汽车,1998-06-02,,1,1,沪市主板,23039635068.0,23039635068.0,0.0
600167,联美控股,1999-01-28,,1,1,沪市主板,16654505808.0,16654505808.0,0.0
600168,武汉控股,1998-04-27,,1,1,沪市主板,5135865432.0,5135865432.0,0.0
600169,ST太重,1998-09-04,,1,1,沪市主板,8166196675.0,8200402767.0,0.0
600170,上海建工,1998-06-23,,1,1,沪市主板,24169756104.0,24169756104.0,0.0
600171,上海贝岭,1998-09-24,,1,1,沪市主板,23224327406.0,23224327406.0,0.0
600172,黄河旋风,1998-11-26,,1,1,沪市主板,8142511685.0,9201136957.0,0.0
600173,卧龙新能,1999-04-15,,1,1,沪市主板,5169071881.0,5169736081.0,0.0
600175,退市美都,1999-04-08,2020-08-14,1,0,沪市主板,0.0,0.0,0.0
600176,中国巨石,1999-04-22,,1,1,沪市主板,70895551453.0,70895551453.0,0.0
600177,雅戈尔,1998-11-19,,1,1,沪市主板,34814517522.0,34814517522.0,0.0
600178,东安动力,1998-10-14,,1,1,沪市主板,6078184378.0,6078184378.0,0.0
600179,安通控股,1998-11-04,,1,1,沪市主板,19890734249.0,21792363942.0,0.0
600180,瑞茂通,1998-07-03,,1,1,沪市主板,3933591420.0,3933591420.0,0.0
600181,S*ST云大,1998-09-28,2007-06-01,1,0,沪市主板,0.0,0.0,0.0
600182,S佳通,1999-05-07,,1,1,沪市主板,2584000000.0,5168000000.0,0.0
600183,生益科技,1998-10-28,,1,1,沪市主板,169099699037.0,171544400023.0,0.0
600184,光电股份,2003-11-06,,1,1,沪市主板,10439772150.0,11957567643.0,0.0
600185,珠免集团,1999-06-11,,1,1,沪市主板,12610688769.0,12610688769.0,0.0
600186,莲花控股,1998-08-25,,1,1,沪市主板,11092657404.0,11117264274.0,0.0
600187,国中水务,1998-11-11,,1,1,沪市主板,4131279624.0,4131279624.0,0.0
600188,兖矿能源,1998-07-01,,1,1,沪市主板,84415732947.0,143034097752.0,0.0
600189,泉阳泉,1998-10-07,,1,1,沪市主板,5042144575.0,5042144575.0,0.0
600190,退市锦港,1999-06-09,2025-07-25,1,0,沪市主板,0.0,0.0,0.0
600191,华资实业,1998-12-10,,1,1,沪市主板,6061650000.0,6061650000.0,0.0
600192,长城电工,1998-12-24,,1,1,沪市主板,4616266600.0,4616266600.0,0.0
600193,*ST创兴,1999-05-27,,1,1,沪市主板,1654700970.0,1654700970.0,0.0
600195,中牧股份,1999-01-07,,1,1,沪市主板,8271300906.0,8271300906.0,0.0
600196,复星医药,1998-08-07,,1,1,沪市主板,58576216011.0,73837370836.0,0.0
600197,伊力特,1999-09-16,,1,1,沪市主板,6605519049.0,6605519049.0,0.0
600198,大唐电信,1998-10-21,,1,1,沪市主板,13839726417.0,13857305641.0,0.0
600199,金种子酒,1998-08-12,,1,1,沪市主板,6426674970.0,6426674970.0,0.0
600200,退市苏吴,1999-04-01,2025-12-31,1,0,沪市主板,206155049.0,206155049.0,0.0
600201,生物股份,1999-01-15,,1,1,沪市主板,19344412172.0,19344412172.0,0.0
600202,哈空调,1999-06-03,,1,1,沪市主板,2273210185.0,2273210185.0,0.0
600203,福日电子,1999-05-14,,1,1,沪市主板,8005339107.0,8005339107.0,0.0
600205,S山东铝,1999-06-30,2007-04-30,1,0,沪市主板,0.0,0.0,0.0
600206,有研新材,1999-03-19,,1,1,沪市主板,18666500971.0,18666500971.0,0.0
600207,安彩高科,1999-07-14,,1,1,沪市主板,5370310891.0,5370310891.0,0.0
600208,衢州发展,1999-06-23,,1,1,沪市主板,34967782745.0,34971746688.0,0.0
600209,退市罗顿,1999-03-25,2022-06-22,1,0,沪市主板,0.0,0.0,0.0
600210,紫江企业,1999-08-24,,1,1,沪市主板,11481692716.0,11481692716.0,0.0
600211,西藏药业,1999-07-21,,1,1,沪市主板,14491471052.0,14491471052.0,0.0
600212,绿能慧充,1999-08-17,,1,1,沪市主板,4291936121.0,5690479081.0,0.0
600213,*ST亚星,1999-08-31,2024-10-17,1,0,沪市主板,0.0,0.0,0.0
600215,派斯林,1999-09-09,,1,1,沪市主板,3865229165.0,3865229165.0,0.0
600216,浙江医药,1999-10-21,,1,1,沪市主板,13367022124.0,13511010388.0,0.0
600217,中再资环,1999-12-16,,1,1,沪市主板,6945568890.0,6945568890.0,0.0
600218,全柴动力,1998-12-03,,1,1,沪市主板,4639139137.0,4639139137.0,0.0
600219,南山铝业,1999-12-23,,1,1,沪市主板,67179654120.0,67179654120.0,0.0
600220,ST阳光,1999-09-27,2024-07-10,1,0,沪市主板,0.0,0.0,0.0
600221,海航控股,1999-11-25,,1,1,沪市主板,74122740834.0,74763044286.0,0.0
600222,太龙药业,1999-11-05,,1,1,沪市主板,3867993547.0,3867993547.0,0.0
600223,福瑞达,2000-01-13,,1,1,沪市主板,7654762876.0,7654762876.0,0.0
600225,退市卓朗,2000-01-27,2025-03-06,1,0,沪市主板,0.0,0.0,0.0
600226,亨通股份,1999-11-16,,1,1,沪市主板,17340642536.0,17340642536.0,0.0
600227,赤天化,2000-02-21,,1,1,沪市主板,3130119517.0,4137382828.0,0.0
600228,*ST返利,1999-01-19,,1,1,沪市主板,2388053396.0,2391699731.0,0.0
600229,城市传媒,2000-03-09,,1,1,沪市主板,4387099686.0,4387099686.0,0.0
600230,沧州大化,2000-04-06,,1,1,沪市主板,6292207428.0,6292207428.0,0.0
600231,凌钢股份,2000-05-11,,1,1,沪市主板,6049979940.0,6126691940.0,0.0
600232,金鹰股份,2000-06-02,,1,1,沪市主板,3038105472.0,3038105472.0,0.0
600233,圆通速递,2000-06-08,,1,1,沪市主板,56643610805.0,56643610805.0,0.0
600234,科新发展,2000-06-15,,1,1,沪市主板,3305139050.0,3305139050.0,0.0
600235,民丰特纸,2000-06-15,,1,1,沪市主板,2409918000.0,2409918000.0,0.0
600236,桂冠电力,2000-03-23,,1,1,沪市主板,64004907752.0,64004907752.0,0.0
600237,铜峰电子,2000-06-09,,1,1,沪市主板,5968091088.0,6054759888.0,0.0
600238,*ST椰岛,2000-01-20,,1,1,沪市主板,2818569101.0,2837106000.0,0.0
600239,云南城投,1999-12-02,,1,1,沪市主板,3853648582.0,3853648582.0,0.0
600240,退市华业,2000-06-28,2020-02-05,1,0,沪市主板,0.0,0.0,0.0
600241,时代万恒,2000-11-28,,1,1,沪市主板,2492738914.0,2492738914.0,0.0
600242,退市中昌,2000-12-07,2023-06-29,1,0,沪市主板,0.0,0.0,0.0
600243,*ST海华,2000-11-20,,1,1,沪市主板,2150365000.0,2150365000.0,0.0
600246,万通发展,2000-09-22,,1,1,沪市主板,24348512691.0,24348512691.0,0.0
600247,*ST成城,2000-11-23,2021-03-22,1,0,沪市主板,0.0,0.0,0.0
600248,陕建股份,2000-06-22,,1,1,沪市主板,13377718822.0,13500444382.0,0.0
600249,两面针,2004-01-30,,1,1,沪市主板,3234000000.0,3234000000.0,0.0
600250,南京商旅,2001-03-06,,1,1,沪市主板,3655689956.0,3655689956.0,0.0
600251,冠农股份,2003-06-09,,1,1,沪市主板,7373669103.0,7373669103.0,0.0
600252,中恒集团,2000-11-30,,1,1,沪市主板,8820131704.0,8820131704.0,0.0
600253,天方药业,2000-12-27,2013-07-15,1,0,沪市主板,0.0,0.0,0.0
600255,鑫科材料,2000-11-22,,1,1,沪市主板,7260710759.0,7260710759.0,0.0
600256,广汇能源,2000-05-26,,1,1,沪市主板,32023934850.0,32023934850.0,0.0
600257,大湖股份,2000-06-12,,1,1,沪市主板,3561155191.0,3561155191.0,0.0
600258,首旅酒店,2000-06-01,,1,1,沪市主板,19004585205.0,19004585205.0,0.0
600259,中稀有色,2000-05-25,,1,1,沪市主板,21605914140.0,21605914140.0,0.0
600260,*ST凯乐,2000-07-06,2023-02-15,1,0,沪市主板,0.0,0.0,0.0
600261,阳光照明,2000-07-20,,1,1,沪市主板,4579231673.0,4579231673.0,0.0
600262,北方股份,2000-06-30,,1,1,沪市主板,4754900000.0,4754900000.0,0.0
600263,路桥建设,2000-07-25,2012-03-01,1,0,沪市主板,0.0,0.0,0.0
600265,ST景谷,2000-08-25,,1,1,沪市主板,2534994000.0,2534994000.0,0.0
600266,城建发展,1999-02-03,,1,1,沪市主板,14156570718.0,14156570718.0,0.0
600267,海正药业,2000-07-25,,1,1,沪市主板,12772694164.0,12779721769.0,0.0
600268,国电南自,1999-11-18,,1,1,沪市主板,11483044397.0,11540292038.0,0.0
600269,赣粤高速,2000-05-18,,1,1,沪市主板,12167470543.0,12167470543.0,0.0
600270,外运发展,2000-12-28,2018-12-28,1,0,沪市主板,0.0,0.0,0.0
600271,航天信息,2003-07-11,,1,1,沪市主板,23828096445.0,23828096445.0,0.0
600272,开开实业,2001-02-28,,1,1,沪市主板,2289600000.0,3758549333.0,0.0
600273,嘉化能源,2003-06-27,,1,1,沪市主板,12822511483.0,12822511483.0,0.0
600275,退市昌鱼,2000-08-10,2022-06-22,1,0,沪市主板,0.0,0.0,0.0
600276,恒瑞医药,2000-10-18,,1,1,沪市主板,406852765036.0,423320607964.0,0.0
600277,ST亿利,2000-07-25,2024-07-18,1,0,沪市主板,0.0,0.0,0.0
600278,东方创业,2000-07-12,,1,1,沪市主板,6844537122.0,6844537122.0,0.0
600279,重庆港,2000-07-31,,1,1,沪市主板,6515895894.0,6515895894.0,0.0
600280,中央商场,2000-09-26,,1,1,沪市主板,4874406284.0,4874406284.0,0.0
